tipus_vi,categoria_vi,aliment,categoria_aliment,cuina,qualitat_maridatge,etiqueta_qualitat,descripcio
Malbec,Red,mac and cheese,Cheese,Japanese,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,mac and cheese,Cheese,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,carbonara,Pork,German,3,Neutral,Too lean for creamy dish.
Riesling (dry),White,Thai curry,Spicy,Japanese,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,oysters,Seafood,Italian,2,Pobre,Tannic reds clash with delicate seafood.
Cabernet Sauvignon,Red,grilled ribeye,Carn vermella,Indian,2,Pobre,Avaluació heurística del maridatge.
Albariño,White,stir-fried tofu,Vegetarian,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Gamay (Beaujolais),Red,oysters,Seafood,Argentinian,2,Pobre,Tannic reds clash with delicate seafood.
Sangiovese,Red,roast chicken with herbs,Aviram,German,3,Neutral,Heavy wine can dominate poultry.
Ice Wine,Postres,salsitxa fumada,Barbacoa fumada,Chinese (Sichuan),4,Bo,Avaluació heurística del maridatge.
Viognier,White,roast chicken with herbs,Aviram,Italian,3,Neutral,Lighter wines fit poultry.
Torrontés,White,Thai curry,Spicy,Thai,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,grilled burger,Barbacoa fumada,Indian,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,citrus salad,Acidic,Argentinian,4,Bo,El vi àcid equilibra el menjar àcid.
Torrontés,White,Indian vindaloo,Spicy,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Nebbiolo,Red,Sichuan noodles,Spicy,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,alfredo pasta,Creamy,Mexicana,4,Bo,Richer body matches creamy textures.
Syrah/Shiraz,Red,grilled burger,Barbacoa fumada,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,alfredo pasta,Creamy,Greek,3,Neutral,Too lean for creamy dish.
Nebbiolo,Red,Thai curry,Spicy,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,chocolate mousse,Postres,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,mushroom risotto,Vegetarian,German,2,Pobre,Avaluació heurística del maridatge.
Viognier,White,roast chicken with herbs,Aviram,Espanyola,4,Bo,Lighter wines fit poultry.
Port,Fortified,cheesecake,Postres,Greek,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,cream of mushroom soup,Creamy,Francesa,2,Pobre,Too lean for creamy dish.
Sangiovese,Red,roast chicken with herbs,Aviram,Ethiopian,1,Terrible,Heavy wine can dominate poultry.
Viognier,White,alfredo pasta,Creamy,Vietnamita,4,Bo,Richer body matches creamy textures.
Merlot,Red,pork tenderloin,Pork,Vietnamita,4,Bo,Light/medium red suits richer poultry/pork.
Sauternes,Postres,chicken curry,Aviram,Chinese (Sichuan),2,Pobre,Heavy wine can dominate poultry.
Ice Wine,Postres,vegetable curry,Vegetarian,Francesa,4,Bo,Avaluació heurística del maridatge.
Malbec,Red,beef stew,Carn vermella,Korean,3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,olives and cheese,Aperitiu salat,Indian,3,Neutral,Avaluació heurística del maridatge.
Zinfandel,Red,bbq ribs,Barbacoa fumada,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,bacon burger,Pork,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,mac and cheese,Cheese,Francesa,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,mushroom risotto,Vegetarian,German,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,pastís de llimona,Postres,Argentinian,4,Bo,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Grenache,Red,pork tenderloin,Pork,Espanyola,3,Neutral,Light/medium red suits richer poultry/pork.
Madeira,Fortified,cheese platter,Cheese,Japanese,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,citrus salad,Acidic,Korean,4,Bo,El vi àcid equilibra el menjar àcid.
Sauternes,Postres,stir-fried tofu,Vegetarian,Middle Eastern,1,Terrible,Deliberately bad pairing example for contrast.
Grenache,Red,carbonara,Pork,Argentinian,2,Pobre,Too lean for creamy dish.
Riesling (dry),White,Sichuan noodles,Spicy,Japanese,2,Pobre,Avaluació heurística del maridatge.
Malbec,Red,xai rostit,Carn vermella,Moroccan,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Syrah/Shiraz,Red,xai rostit,Carn vermella,Chinese (Sichuan),5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Cabernet Sauvignon,Red,salsitxa fumada,Barbacoa fumada,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,mixed nuts,Aperitiu salat,Italian,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,fish tacos,Seafood,Italian,2,Pobre,Tannic reds clash with delicate seafood.
Malbec,Red,xai rostit,Carn vermella,Middle Eastern,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Albariño,White,mushroom risotto,Vegetarian,Japanese,4,Bo,Avaluació heurística del maridatge.
Cava,Sparkling,grilled ribeye,Carn vermella,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Chardonnay,White,roast chicken with herbs,Aviram,Korean,3,Neutral,Lighter wines fit poultry.
Grüner Veltliner,White,fish tacos,Seafood,Middle Eastern,4,Bo,Crisp acidity suits seafood.
Pinot Noir,Red,vegetable curry,Vegetarian,Espanyola,2,Pobre,Avaluació heurística del maridatge.
Champagne,Sparkling,grilled salmon,Seafood,Greek,4,Bo,Crisp acidity suits seafood.
Cava,Sparkling,caprese salad,Acidic,Middle Eastern,2,Pobre,Avaluació heurística del maridatge.
Sauternes,Postres,ànec a la taronja,Aviram,Francesa,3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,xai rostit,Carn vermella,German,5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,olives and cheese,Aperitiu salat,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Torrontés,White,Thai curry,Spicy,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,grilled ribeye,Carn vermella,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,bbq brisket,Carn vermella,Indian,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Sauternes,Postres,vegetable curry,Vegetarian,Italian,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,roast chicken with herbs,Aviram,German,4,Bo,Lighter wines fit poultry.
Nebbiolo,Red,pork tenderloin,Pork,Thai,3,Neutral,Light/medium red suits richer poultry/pork.
Sauternes,Postres,carbonara,Pork,American BBQ,4,Bo,Richer body matches creamy textures.
Pinot Noir,Red,ànec a la taronja,Aviram,German,3,Neutral,Light/medium red suits richer poultry/pork.
Sauvignon Blanc,White,vegetable curry,Vegetarian,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,pastís de llimona,Postres,Francesa,4,Bo,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Champagne,Sparkling,grilled salmon,Seafood,Italian,4,Bo,Crisp acidity suits seafood.
Gewürztraminer,White,Thai curry,Spicy,Thai,3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,fish tacos,Seafood,Chinese (Sichuan),1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,vegetable curry,Vegetarian,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Sauvignon Blanc,White,fish tacos,Seafood,Korean,4,Bo,Crisp acidity suits seafood.
Ice Wine,Postres,grilled salmon,Seafood,Japanese,3,Neutral,Tannic reds clash with delicate seafood.
Nebbiolo,Red,Indian vindaloo,Spicy,Middle Eastern,1,Terrible,High tannin intensifies spice heat.
Nebbiolo,Red,bbq brisket,Carn vermella,Moroccan,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Albariño,White,vegetable curry,Vegetarian,Italian,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,cheese platter,Cheese,German,3,Neutral,Avaluació heurística del maridatge.
Zinfandel,Red,grilled burger,Barbacoa fumada,Indian,4,Bo,Avaluació heurística del maridatge.
Pinot Noir,Red,ànec a la taronja,Aviram,Francesa,4,Bo,Light/medium red suits richer poultry/pork.
Zinfandel,Red,mac and cheese,Cheese,Thai,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,shrimp scampi,Seafood,Francesa,5,Excel·lent,Crisp acidity suits seafood.
Grenache,Red,bacon burger,Pork,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Sangiovese,Red,vegetable curry,Vegetarian,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,xai rostit,Carn vermella,Thai,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Chardonnay,White,cheese platter,Cheese,Moroccan,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,cheese platter,Cheese,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,beef stew,Carn vermella,Mexicana,4,Bo,Avaluació heurística del maridatge.
Sauvignon Blanc,White,vegetable curry,Vegetarian,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,chocolate mousse,Postres,Japanese,3,Neutral,Avaluació heurística del maridatge.
Gewürztraminer,White,Thai curry,Spicy,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Sauternes,Postres,mushroom risotto,Vegetarian,Greek,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,pork tenderloin,Pork,American BBQ,5,Excel·lent,Idealized perfect pairing example for contrast.
Madeira,Fortified,cheesecake,Postres,Korean,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,pork tenderloin,Pork,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Malbec,Red,grilled ribeye,Carn vermella,Korean,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,bbq ribs,Barbacoa fumada,Ethiopian,5,Excel·lent,Idealized perfect pairing example for contrast.
Viognier,White,chicken curry,Aviram,Mexicana,3,Neutral,Lighter wines fit poultry.
Nebbiolo,Red,pork tenderloin,Pork,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,alfredo pasta,Creamy,German,3,Neutral,Too lean for creamy dish.
Merlot,Red,alfredo pasta,Creamy,Thai,2,Pobre,Too lean for creamy dish.
Ice Wine,Postres,cheesecake,Postres,American BBQ,4,Bo,Sweet/sparkling pairs with dessert.
Ice Wine,Postres,bbq ribs,Barbacoa fumada,Japanese,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,carbonara,Pork,Vietnamita,2,Pobre,Too lean for creamy dish.
Sauvignon Blanc,White,grilled salmon,Seafood,Italian,3,Neutral,Crisp acidity suits seafood.
Grüner Veltliner,White,shrimp scampi,Seafood,Korean,4,Bo,Crisp acidity suits seafood.
Gewürztraminer,White,Indian vindaloo,Spicy,Mexicana,4,Bo,Avaluació heurística del maridatge.
Cava,Sparkling,shrimp scampi,Seafood,Argentinian,4,Bo,Crisp acidity suits seafood.
Viognier,White,bacon burger,Pork,Korean,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,pork tenderloin,Pork,Argentinian,3,Neutral,Light/medium red suits richer poultry/pork.
Cabernet Sauvignon,Red,salsitxa fumada,Barbacoa fumada,Indian,4,Bo,Avaluació heurística del maridatge.
Sangiovese,Red,caprese salad,Acidic,Japanese,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,grilled salmon,Seafood,Francesa,2,Pobre,Tannic reds clash with delicate seafood.
Ice Wine,Postres,mixed nuts,Aperitiu salat,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,roast chicken with herbs,Aviram,Middle Eastern,5,Excel·lent,Lighter wines fit poultry.
White Zinfandel,Rosé,bbq brisket,Carn vermella,Mexicana,5,Excel·lent,Idealized perfect pairing example for contrast.
Grenache,Red,olives and cheese,Aperitiu salat,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,Sichuan noodles,Spicy,Greek,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,cheese platter,Cheese,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,bbq brisket,Carn vermella,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Viognier,White,alfredo pasta,Creamy,Italian,4,Bo,Richer body matches creamy textures.
Zinfandel,Red,salsitxa fumada,Barbacoa fumada,Thai,4,Bo,Avaluació heurística del maridatge.
Albariño,White,vegetable curry,Vegetarian,Vietnamita,4,Bo,Avaluació heurística del maridatge.
Merlot,Red,cream of mushroom soup,Creamy,Korean,2,Pobre,Too lean for creamy dish.
Ice Wine,Postres,shrimp scampi,Seafood,Japanese,2,Pobre,Tannic reds clash with delicate seafood.
Pinot Noir,Red,roast chicken with herbs,Aviram,Indian,4,Bo,Lighter wines fit poultry.
Sauvignon Blanc,White,fish tacos,Seafood,Vietnamita,3,Neutral,Crisp acidity suits seafood.
Sangiovese,Red,gazpacho,Acidic,Korean,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Syrah/Shiraz,Red,grilled ribeye,Carn vermella,German,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,bacon burger,Pork,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,cheese platter,Cheese,Francesa,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,mushroom risotto,Vegetarian,Vietnamita,4,Bo,Avaluació heurística del maridatge.
Gewürztraminer,White,Thai curry,Spicy,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,vegetable curry,Vegetarian,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,stir-fried tofu,Vegetarian,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Merlot,Red,cream of mushroom soup,Creamy,Thai,2,Pobre,Too lean for creamy dish.
Gewürztraminer,White,Sichuan noodles,Spicy,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,bbq brisket,Carn vermella,Indian,5,Excel·lent,El vi negre tànnic complementa el greix de la carn vermella.
Sauternes,Postres,mushroom risotto,Vegetarian,Italian,4,Bo,Avaluació heurística del maridatge.
Albariño,White,stir-fried tofu,Vegetarian,Francesa,4,Bo,Avaluació heurística del maridatge.
Pinot Noir,Red,mushroom risotto,Vegetarian,Italian,2,Pobre,Avaluació heurística del maridatge.
Madeira,Fortified,mac and cheese,Cheese,Italian,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,bacon burger,Pork,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Syrah/Shiraz,Red,grilled burger,Barbacoa fumada,Middle Eastern,4,Bo,Avaluació heurística del maridatge.
Madeira,Fortified,sorbet,Postres,German,3,Neutral,Avaluació heurística del maridatge.
Grüner Veltliner,White,shrimp scampi,Seafood,Japanese,4,Bo,Crisp acidity suits seafood.
Sauvignon Blanc,White,grilled salmon,Seafood,Italian,4,Bo,Crisp acidity suits seafood.
Pinot Noir,Red,caprese salad,Acidic,Italian,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,ànec a la taronja,Aviram,German,4,Bo,Avaluació heurística del maridatge.
Sangiovese,Red,chicken curry,Aviram,Francesa,3,Neutral,Heavy wine can dominate poultry.
Nebbiolo,Red,Thai curry,Spicy,Korean,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,mushroom risotto,Vegetarian,Italian,2,Pobre,Avaluació heurística del maridatge.
Chardonnay,White,pork tenderloin,Pork,Indian,3,Neutral,Avaluació heurística del maridatge.
Madeira,Fortified,cheese platter,Cheese,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Grüner Veltliner,White,alfredo pasta,Creamy,German,1,Terrible,Too lean for creamy dish.
Syrah/Shiraz,Red,bbq brisket,Carn vermella,Espanyola,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Ice Wine,Postres,salsitxa fumada,Barbacoa fumada,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Albariño,White,mushroom risotto,Vegetarian,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Sauternes,Postres,ànec a la taronja,Aviram,Korean,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,Indian vindaloo,Spicy,American BBQ,2,Pobre,High tannin intensifies spice heat.
Albariño,White,shrimp scampi,Seafood,Italian,4,Bo,Crisp acidity suits seafood.
Malbec,Red,grilled burger,Barbacoa fumada,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Zinfandel,Red,grilled burger,Barbacoa fumada,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,olives and cheese,Aperitiu salat,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Albariño,White,oysters,Seafood,Mexicana,4,Bo,Crisp acidity suits seafood.
Sauternes,Postres,roast chicken with herbs,Aviram,Italian,1,Terrible,Heavy wine can dominate poultry.
Champagne,Sparkling,olives and cheese,Aperitiu salat,Moroccan,2,Pobre,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,salsitxa fumada,Barbacoa fumada,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,cheese platter,Cheese,Japanese,4,Bo,Avaluació heurística del maridatge.
Malbec,Red,beef stew,Carn vermella,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,olives and cheese,Aperitiu salat,Greek,2,Pobre,Avaluació heurística del maridatge.
Port,Fortified,cheese platter,Cheese,Japanese,3,Neutral,Avaluació heurística del maridatge.
Cava,Sparkling,olives and cheese,Aperitiu salat,German,1,Terrible,Deliberately bad pairing example for contrast.
Torrontés,White,Thai curry,Spicy,Indian,4,Bo,Avaluació heurística del maridatge.
Merlot,Red,bacon burger,Pork,Ethiopian,4,Bo,Avaluació heurística del maridatge.
White Zinfandel,Rosé,beef stew,Carn vermella,Korean,1,Terrible,Deliberately bad pairing example for contrast.
Nebbiolo,Red,Indian vindaloo,Spicy,Espanyola,2,Pobre,High tannin intensifies spice heat.
Sauvignon Blanc,White,oysters,Seafood,Francesa,5,Excel·lent,Crisp acidity suits seafood.
Albariño,White,grilled salmon,Seafood,Mexicana,4,Bo,Crisp acidity suits seafood.
Grüner Veltliner,White,oysters,Seafood,Japanese,5,Excel·lent,Crisp acidity suits seafood.
Riesling (dry),White,Thai curry,Spicy,Indian,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,gazpacho,Acidic,American BBQ,4,Bo,El vi àcid equilibra el menjar àcid.
Ice Wine,Postres,stir-fried tofu,Vegetarian,Francesa,2,Pobre,Avaluació heurística del maridatge.
Cava,Sparkling,fish tacos,Seafood,German,3,Neutral,Crisp acidity suits seafood.
Sauternes,Postres,pastís de llimona,Postres,American BBQ,5,Excel·lent,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Gamay (Beaujolais),Red,oysters,Seafood,Moroccan,2,Pobre,Tannic reds clash with delicate seafood.
Nebbiolo,Red,Sichuan noodles,Spicy,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,beef stew,Carn vermella,Indian,3,Neutral,Avaluació heurística del maridatge.
Grüner Veltliner,White,mushroom risotto,Vegetarian,Francesa,4,Bo,Avaluació heurística del maridatge.
Sauternes,Postres,vegetable curry,Vegetarian,Greek,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,roast chicken with herbs,Aviram,Chinese (Sichuan),3,Neutral,Lighter wines fit poultry.
Nebbiolo,Red,bbq brisket,Carn vermella,Espanyola,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Viognier,White,bacon burger,Pork,Indian,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,cheesecake,Postres,Ethiopian,4,Bo,Sweet/sparkling pairs with dessert.
Albariño,White,oysters,Seafood,Argentinian,5,Excel·lent,Crisp acidity suits seafood.
Grüner Veltliner,White,vegetable curry,Vegetarian,Francesa,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,citrus salad,Acidic,Indian,5,Excel·lent,El vi àcid equilibra el menjar àcid.
Merlot,Red,carbonara,Pork,American BBQ,2,Pobre,Too lean for creamy dish.
Grenache,Red,cream of mushroom soup,Creamy,German,2,Pobre,Too lean for creamy dish.
Grüner Veltliner,White,shrimp scampi,Seafood,Japanese,5,Excel·lent,Crisp acidity suits seafood.
Pinot Noir,Red,chicken curry,Aviram,Middle Eastern,3,Neutral,Lighter wines fit poultry.
Syrah/Shiraz,Red,salsitxa fumada,Barbacoa fumada,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,vegetable curry,Vegetarian,Italian,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,bacon burger,Pork,Korean,2,Pobre,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,beef stew,Carn vermella,Mexicana,2,Pobre,Avaluació heurística del maridatge.
Sauvignon Blanc,White,cream of mushroom soup,Creamy,Vietnamita,3,Neutral,Too lean for creamy dish.
Riesling (dry),White,Indian vindaloo,Spicy,American BBQ,4,Bo,Off-dry sweetness calms spice.
Viognier,White,bacon burger,Pork,Korean,4,Bo,Avaluació heurística del maridatge.
Sauternes,Postres,stir-fried tofu,Vegetarian,Thai,4,Bo,Avaluació heurística del maridatge.
Malbec,Red,grilled ribeye,Carn vermella,Korean,2,Pobre,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,grilled ribeye,Carn vermella,Indian,3,Neutral,Avaluació heurística del maridatge.
Zinfandel,Red,salsitxa fumada,Barbacoa fumada,Thai,2,Pobre,Avaluació heurística del maridatge.
Merlot,Red,alfredo pasta,Creamy,Indian,2,Pobre,Too lean for creamy dish.
Grüner Veltliner,White,fish tacos,Seafood,Italian,5,Excel·lent,Crisp acidity suits seafood.
Sauternes,Postres,oysters,Seafood,Vietnamita,2,Pobre,Tannic reds clash with delicate seafood.
Gewürztraminer,White,Thai curry,Spicy,Espanyola,4,Bo,Avaluació heurística del maridatge.
Merlot,Red,bacon burger,Pork,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,fondue,Cheese,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Torrontés,White,Sichuan noodles,Spicy,Espanyola,4,Bo,Avaluació heurística del maridatge.
Sauternes,Postres,stir-fried tofu,Vegetarian,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Gamay (Beaujolais),Red,oysters,Seafood,Indian,1,Terrible,Tannic reds clash with delicate seafood.
Cabernet Sauvignon,Red,bbq brisket,Carn vermella,Moroccan,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Merlot,Red,cream of mushroom soup,Creamy,Moroccan,1,Terrible,Too lean for creamy dish.
Grenache,Red,olives and cheese,Aperitiu salat,Korean,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,pork tenderloin,Pork,Argentinian,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,ànec a la taronja,Aviram,German,3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,salsitxa fumada,Barbacoa fumada,Mexicana,2,Pobre,Avaluació heurística del maridatge.
Viognier,White,pork tenderloin,Pork,Chinese (Sichuan),2,Pobre,Avaluació heurística del maridatge.
Sauternes,Postres,grilled salmon,Seafood,Korean,2,Pobre,Tannic reds clash with delicate seafood.
Cabernet Sauvignon,Red,grilled burger,Barbacoa fumada,Indian,5,Excel·lent,Idealized perfect pairing example for contrast.
Champagne,Sparkling,shrimp scampi,Seafood,Middle Eastern,4,Bo,Crisp acidity suits seafood.
Gewürztraminer,White,Thai curry,Spicy,Chinese (Sichuan),2,Pobre,Avaluació heurística del maridatge.
Merlot,Red,mixed nuts,Aperitiu salat,Chinese (Sichuan),4,Bo,Avaluació heurística del maridatge.
Merlot,Red,carbonara,Pork,Moroccan,3,Neutral,Too lean for creamy dish.
Malbec,Red,bbq brisket,Carn vermella,Chinese (Sichuan),4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Port,Fortified,pastís de llimona,Postres,Indian,2,Pobre,Low-acid wine seems flabby vs acids.
Albariño,White,fish tacos,Seafood,Argentinian,3,Neutral,Crisp acidity suits seafood.
Grüner Veltliner,White,chocolate mousse,Postres,Chinese (Sichuan),1,Terrible,Dry table wine clashes with dessert sweetness.
Zinfandel,Red,grilled burger,Barbacoa fumada,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,grilled burger,Barbacoa fumada,Middle Eastern,5,Excel·lent,Idealized perfect pairing example for contrast.
Albariño,White,shrimp scampi,Seafood,Francesa,3,Neutral,Crisp acidity suits seafood.
Madeira,Fortified,fondue,Cheese,Greek,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,ànec a la taronja,Aviram,Greek,5,Excel·lent,Light/medium red suits richer poultry/pork.
Merlot,Red,cream of mushroom soup,Creamy,Espanyola,2,Pobre,Too lean for creamy dish.
Torrontés,White,Sichuan noodles,Spicy,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,chicken curry,Aviram,Japanese,5,Excel·lent,Lighter wines fit poultry.
Malbec,Red,bbq ribs,Barbacoa fumada,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,gazpacho,Acidic,Mexicana,1,Terrible,Deliberately bad pairing example for contrast.
Sauternes,Postres,bacon burger,Pork,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,ànec a la taronja,Aviram,Mexicana,4,Bo,Light/medium red suits richer poultry/pork.
Syrah/Shiraz,Red,beef stew,Carn vermella,Indian,1,Terrible,Deliberately bad pairing example for contrast.
Nebbiolo,Red,beef stew,Carn vermella,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Sauternes,Postres,vegetable curry,Vegetarian,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Malbec,Red,grilled burger,Barbacoa fumada,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,shrimp scampi,Seafood,Francesa,5,Excel·lent,Crisp acidity suits seafood.
Malbec,Red,bbq ribs,Barbacoa fumada,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Malbec,Red,grilled ribeye,Carn vermella,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Torrontés,White,Sichuan noodles,Spicy,Korean,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,beef stew,Carn vermella,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Gewürztraminer,White,Sichuan noodles,Spicy,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Torrontés,White,Thai curry,Spicy,Thai,1,Terrible,Deliberately bad pairing example for contrast.
Madeira,Fortified,mac and cheese,Cheese,Greek,2,Pobre,Avaluació heurística del maridatge.
Sangiovese,Red,caprese salad,Acidic,Japanese,4,Bo,Avaluació heurística del maridatge.
Nebbiolo,Red,Sichuan noodles,Spicy,Indian,2,Pobre,Avaluació heurística del maridatge.
Viognier,White,fondue,Cheese,Korean,2,Pobre,Avaluació heurística del maridatge.
Gewürztraminer,White,fondue,Cheese,Francesa,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,grilled burger,Barbacoa fumada,Argentinian,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,stir-fried tofu,Vegetarian,Italian,3,Neutral,Avaluació heurística del maridatge.
Torrontés,White,Thai curry,Spicy,American BBQ,1,Terrible,Deliberately bad pairing example for contrast.
Port,Fortified,sorbet,Postres,Mexicana,2,Pobre,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,grilled burger,Barbacoa fumada,Moroccan,2,Pobre,Avaluació heurística del maridatge.
